Species,Site,Age,Height_in,Canopy_area_in2,Total_Fruit_No,HV_m2_cm2,WD,Ks,KL_Units,TotalAssim,BW_dry_avg,Photo,Trmmol,Cond,WUE_Intrinsic,Thick_cm,Area_cm2,LMA_g.cm2,LWR,LD_g.cm3,Length_mm_Top,Density_mm2_Top,SPI_Top,WUE_Instantaneous
PRRE,Jonaskop,9,85,4070.718681,91,1.393718,0.533814328,1.143348103,8.21E-05,195038.9129,1.28,14.00960546,1.170794935,0.147675153,94.86772267,0.06115,6.792775,0.032026675,13.24868542,0.523739575,0.066666667,34.5818148,0.153696955,11.96589176
PRRE,Jonaskop,7,58,1958.78302,49,1.278069,0.585809152,0.704789293,5.51E-05,174098.2173,1.0075,13.62197291,1.106226853,0.155495594,87.60359416,0.068016667,8.94205,0.036222119,12.71026846,0.532547692,0.064583333,35.6297486,0.148611929,12.31390548
PRRE,Jonaskop,10,84,6997.897636,134,1.471082,0.578767114,1.211679156,8.25E-05,156361.7076,0.7025,10.64236319,1.178245664,0.169550831,62.76798012,0.051516667,6.358405,0.031257839,13.39513962,0.606751966,0.054166667,37.20164924,0.109150672,9.032380526
PRRE,Jonaskop,6,106,5372.123438,83,0.891014,0.599135176,0.860130635,9.66E-05,69628.25766,1.129,7.822103634,0.908825324,0.109669529,71.32431137,0.065483333,7.80802,0.037960968,15.57121445,0.579704274,0.0625,30.91404656,0.120757994,8.606828427
PRRE,Jonaskop,8,67,5452.23405,101,1.250711,0.514147484,0.720234714,5.76E-05,109390.0581,0.792,8.746227168,1.114555401,0.155797318,56.13849635,0.05125,9.124755,0.030915899,14.67858728,0.603237054,0.059166667,37.20164927,0.130231607,7.847278978
PRRE,Jonaskop,10,71,1976.061779,95,0.647878,0.539189824,1.51408071,0.000233698,69021.81143,0.964,10.65352171,1.169013034,0.152599154,69.81376653,0.055733333,6.873855,0.032907299,9.981280515,0.590441971,0.06,35.1057817,0.126380814,9.1132617
PRRE,Jonaskop,9,57,3369.358121,132,0.884357,0.560191212,0.99738045,0.000112952,102989.2207,0.7525,11.66338175,1.58358462,0.20061173,58.13908165,0.054266667,6.282535,0.031316976,16.32749561,0.577094149,0.053333333,37.20164927,0.105818025,7.36517746
PRRE,Jonaskop,8,57,1484.402529,77,0.797356,0.551203159,0.719433665,9.02E-05,82278.16883,0.7315,10.31887993,1.9630295,0.230709047,44.72681095,0.054033333,5.84,0.028732877,17.77630118,0.53176207,0.065833333,37.20164924,0.161232981,5.25660971
PRRE,Jonaskop,11,88,4343.251844,121,0.959609,0.566013393,0.958006787,1.00E-04,100219.1434,0.752,10.45855764,1.232298237,0.146267188,71.50310184,0.055866667,7.560135,0.029860578,12.07176441,0.534497216,0.055833333,33.53388102,0.104537217,8.48703449
PRRE,Jonaskop,9,71,2872.986482,71,1.279707,0.584535062,1.7183194,0.000134274,92078.41929,0.9225,7.195271222,1.181203421,0.167316351,43.00399321,0.05625,6.58208,0.029056165,11.51512865,0.516554044,0.063333333,31.96198035,0.128203055,6.091475096
PRRE,Jonaskop,10,80,2921.681168,87,1.339909,0.553247043,1.701963364,0.0001272,109490.9219,0.7025,8.183077816,1.214862386,0.152004569,53.83442004,0.0507,4.708195,0.028800846,23.03221074,0.568064024,0.059166667,33.53388102,0.117391871,6.735806385
